Type,Price,Price Category,Bedrooms,Bathrooms,Area,Area Category,Furnished,Level,Payment_Option,Delivery_Term,City
Apartment,5000000,Greater Than Q3 ( 4100000 ) ,4,3,294,Greater Than Q3 (  200  ) ,No,4,Cash,Finished,Smoha
Apartment,300000,Less Than or Equal to Q1 ( 1200000 ) ,4,2,192,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash or Installment,Not Finished,Sun Capital
Apartment,720000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,135,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Cash,Finished,Badr City
Apartment,2000000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,Yes,6,Cash,Finished,Haram
Apartment,840000,Less Than or Equal to Q1 ( 1200000 ) ,3,1,115,Less Than or Equal to Q1 ( 127  ) ,No,4,Cash,Finished,Mandara
Apartment,4200000,Greater Than Q3 ( 4100000 ) ,3,3,157,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,4,Cash,Finished,Rehab City
Apartment,1600000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,119,Less Than or Equal to Q1 ( 127  ) ,No,12,Installment,Finished,Rehab City
Apartment,2300000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,2,2,89,Less Than or Equal to Q1 ( 127  ) ,No,1,Cash,Finished,Madinaty
Apartment,2320000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,2,2,119,Less Than or Equal to Q1 ( 127  ) ,No,1,Installment,Semi Finished,Murooj
Apartment,5200000,Greater Than Q3 ( 4100000 ) ,3,2,205,Greater Than Q3 (  200  ) ,No,8,Cash,Finished,Sidi Beshr
Apartment,7900000,Greater Than Q3 ( 4100000 ) ,4,3,260,Greater Than Q3 (  200  ) ,No,12,Cash,Finished,Madinaty
Apartment,1800000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,185,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Cash,Finished,Obour City
Apartment,5800000,Greater Than Q3 ( 4100000 ) ,3,2,149,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,12,Cash or Installment,Finished,Sheikh Zayed
Apartment,6070000,Greater Than Q3 ( 4100000 ) ,3,3,220,Greater Than Q3 (  200  ) ,No,3,Cash or Installment,Semi Finished,Stone Residence
Apartment,1380000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,160,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Cash,Finished,Hadayek al-Ahram
Apartment,5688000,Greater Than Q3 ( 4100000 ) ,3,3,158,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Cash or Installment,Semi Finished,6th of October
Apartment,2200000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,245,Greater Than Q3 (  200  ) ,No,1,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,5500000,Greater Than Q3 ( 4100000 ) ,3,3,155,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,12,Cash,Finished,Rehab City
Apartment,2268628,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,135,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,1,Cash or Installment,Not Finished,6th of October
Penthouse,2588000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,216,Greater Than Q3 (  200  ) ,No,5,Cash or Installment,Core & Shell,Ashgar City
Apartment,4000000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,1,1,48,Less Than or Equal to Q1 ( 127  ) ,No,1,Cash or Installment,Finished,Fifth Square
Apartment,2423000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,1,1,58,Less Than or Equal to Q1 ( 127  ) ,No,2,Cash or Installment,Finished,Monte Napoleon
Apartment,1100000,Less Than or Equal to Q1 ( 1200000 ) ,3,1,165,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash,Not Finished,Hadayek 6th of October
Apartment,1560000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,195,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash or Installment,Semi Finished,6th of October
Apartment,2205000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,210,Greater Than Q3 (  200  ) ,No,2,Cash or Installment,Semi Finished,Rich Mont
Apartment,1600000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,140,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Cash,Finished,6th of October
Apartment,1300000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,1,120,Less Than or Equal to Q1 ( 127  ) ,No,12,Cash,Finished,Nasr City
Duplex,850000,Less Than or Equal to Q1 ( 1200000 ) ,3,3,160,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,12,Cash or Installment,Finished,New Cairo - El Tagamoa
Apartment,2070000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,180,Between Q2(  160  )  and Q3 (  200  ) ,No,1,Cash or Installment,Semi Finished,6th of October
Apartment,1250000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,1,125,Less Than or Equal to Q1 ( 127  ) ,No,6,Cash,Finished,Montazah
